Time,Frequency Reference,Output Frequency,Output Current,Output Voltage,Output Power,DC Bus Voltage,Output Frequency After Soft-start,Peak Voltage Current,Regenerative Power  (kWh),Power Supply Voltage,Power Supply Frequency,Electric Power (kWh),Cooling Fin Temperature,Peak Voltage Output Frequency,Motor q-Axis Current during Fault,Fin Temperature,RPM Ref,RPM Out,Power Factor,Slip (%),Daya Semu (kVA),Efficiency (%),Daya Output Motor (kW),Torque (Nm),Load,Temperature (C),Lifetime,Anomaly_Score,Anomaly,Smoothed_Anomaly_Score,Filtered_Anomaly
2.794,48.18,48.18,82.76,371.2,40.9,591.0,48.19,199.8,0.0,400.0,49.9,938.0,36.0,2.23,-11.5,32.0,2890.8,2890.8,0.7686599106764788,0.0,53.20948761852938,93.5,38.2415,126.40014269406392,409.2442794088548,55.5,800361.9325533354,0.10104310584868959,1,0.14239407802636841,0
2.95,48.18,48.18,84.79,371.2,45.5,594.0,48.18,199.8,0.0,399.0,50.0,938.0,36.0,2.23,-11.5,32.0,2890.8,2890.8,0.8346380245759292,0.0,54.5146502558616,93.5,42.5425,140.61629566210047,455.2717533765989,55.5,800361.9325533354,0.14836613314512348,1,0.142678461603452,0
3.11,48.16,48.16,86.42,371.1,45.9,590.0,48.15,199.8,0.0,400.0,50.0,938.0,36.0,2.23,-11.5,32.0,2889.6,2889.6,0.8263172933337793,0.0,55.54766960620699,93.5,42.9165,141.91139171511628,459.2741424172722,55.5,800361.9325533354,0.12135028108059931,1,0.14170899885241323,0
3.271,48.15,48.15,83.95,370.9,44.0,587.0,48.15,199.8,0.0,399.0,50.0,938.0,36.0,2.23,-11.5,32.0,2889.0,2889.0,0.8158578852220782,0.0,53.93096125806654,93.5,41.14,136.06531671858775,440.2627944740736,55.5,800361.9325533354,0.16438231904004147,1,0.1426947953823101,0
3.433,48.17,48.17,81.97,371.2,46.1,584.0,48.18,199.8,0.0,398.0,49.9,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2890.2000000000003,0.874736795580495,0.0,52.70156718331142,93.5,43.1035,142.50015310359146,461.275336937609,55.5,800361.9325533354,0.1701331620514675,1,0.14383806066019167,0
3.594,48.18,48.18,80.33,371.1,46.2,587.0,48.18,199.8,0.0,397.0,49.9,938.0,36.0,2.23,-11.5,32.0,2890.8,2890.8,0.8947724977153394,0.0,51.63323651315213,93.5,43.197,142.77962328767123,462.2759341977772,55.5,800361.9325533354,0.10789753686830017,1,0.142400439708516,0
3.757,48.18,48.18,80.78,371.1,44.6,587.0,48.17,199.8,0.0,397.0,50.0,938.0,36.0,2.23,-11.5,32.0,2890.8,2890.8,0.8589728323814951,0.0,51.922480337762096,93.5,41.701,137.83487442922373,446.2663780350837,55.4,806349.4719327182,0.16939037933426865,1,0.1434385143095065,0
3.922,48.14,48.14,81.7,370.8,42.6,585.0,48.15,199.8,0.0,398.0,49.9,938.0,36.0,2.23,-11.5,32.0,2888.4,2888.4,0.8118713010434304,0.0,52.471370702782295,93.5,39.831,131.76333090984627,426.2544328317167,55.4,806349.4719327182,0.08128592020566217,1,0.14113656637973448,0
4.089,48.17,48.17,82.54,371.1,40.2,587.0,48.18,199.8,0.0,398.0,49.9,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2890.2000000000003,0.7577221917871705,0.0,53.053745074014415,93.5,37.587,124.26260639402118,402.2400985876764,55.4,806349.4719327182,0.13753807346472968,1,0.14100804877562717,0
4.257,48.17,48.17,81.83,371.0,38.9,589.0,48.15,199.8,0.0,399.0,50.0,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2890.2000000000003,0.7397798760192288,0.0,52.58320922342701,93.5,36.3715,120.24416389869212,389.2323342054878,55.4,806349.4719327182,0.08809394116255143,1,0.13918342437517628,0
4.425,48.17,48.17,82.76,371.2,42.7,591.0,48.18,199.8,0.0,399.0,49.9,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2890.2000000000003,0.802488464202583,0.0,53.20948761852938,93.5,39.9245,131.9903804235001,427.2550300918851,55.4,806349.4719327182,0.19437916736416594,1,0.14102328247480928,0
4.594,48.15,48.16,82.76,371.0,42.5,592.0,48.16,199.8,0.0,400.0,50.0,938.0,36.0,2.23,-11.5,32.0,2889.0,2889.6,0.7991603181009581,0.0207641196013257,53.1808187135625,93.5,39.7375,131.3994367732558,425.25383557154834,55.4,806349.4719327182,0.1762180238142541,1,0.1422339234844533,0
4.765,48.18,48.18,84.7,371.2,44.3,594.0,48.18,199.8,0.0,399.0,49.9,938.0,36.0,2.23,-11.5,32.0,2890.8,2890.8,0.8134890678147908,0.0,54.45678590248234,93.5,41.4205,136.90773401826482,443.26458625457855,55.4,806349.4719327182,0.14619896877573457,1,0.14040819136454435,0
4.937,48.17,48.16,84.79,371.1,45.9,592.0,48.18,199.8,0.0,399.0,50.0,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2889.6,0.8422023881342753,0.0207641196013414,54.49996419706423,93.5,42.9165,141.91139171511628,459.2741424172722,55.4,806349.4719327182,0.14584290386073273,1,0.14026894433657888,0
5.109,48.16,48.16,85.8,371.1,44.8,591.0,48.16,199.8,0.0,399.0,49.9,938.0,36.0,2.23,-11.5,32.0,2889.6,2889.6,0.812342442511529,0.0,55.14915589229992,93.5,41.888000000000005,138.51046511627908,448.2675725554204,55.4,806349.4719327182,0.18564820177226177,1,0.14339461301489637,0
5.282,48.18,48.18,87.47,371.3,45.7,591.0,48.18,199.8,0.0,400.0,50.0,938.0,36.0,2.23,-11.5,32.0,2890.8,2890.8,0.812402959748668,0.0,56.25287236045785,93.5,42.7295,141.2343892694064,457.2729478969356,55.4,806349.4719327182,0.07637395595249863,1,0.1410510345631473,0
5.458,48.17,48.17,86.9,371.2,46.9,589.0,48.17,199.8,0.0,399.0,49.9,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2890.2000000000003,0.8394299713116992,0.0,55.87124787397539,93.5,43.8515,144.9730407930247,469.2801150189556,55.5,800361.9325533354,0.05972035265238218,1,0.13962968952721078,0
5.634,48.15,48.15,86.15,371.0,46.2,589.0,48.17,199.8,0.0,399.0,50.0,938.0,36.0,2.23,-11.5,32.0,2889.0,2889.0,0.8345496066867859,0.0,55.3592016937338,93.5,43.197,142.86858255451713,462.2759341977773,55.5,800361.9325533354,0.06310528780337765,1,0.1361717843037898,1
5.809,48.15,48.16,85.98,371.1,44.9,588.0,48.16,199.8,0.0,399.0,50.0,938.0,36.0,2.23,-11.5,32.0,2889.0,2889.6,0.812451263681614,0.0207641196013257,55.26485342214392,93.5,41.9815,138.8196402616279,449.2681698155888,55.6,794418.8535835735,0.1849266863117458,1,0.1370811262180623,1
5.985,48.17,48.17,85.27,371.1,44.4,588.0,48.15,199.8,0.0,400.0,49.9,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2890.2000000000003,0.8100934588022185,0.0,54.80849094331486,93.5,41.514,137.24526676354577,444.26518351474704,55.6,794418.8535835735,0.19700420741773012,1,0.13834184937475963,0
6.167,48.17,48.18,86.42,371.2,44.5,588.0,48.15,199.8,0.0,399.0,49.9,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2890.8,0.8008978984867641,0.0207555002075518,55.562637989286,93.5,41.6075,137.52582762557077,445.2657807749153,55.6,794418.8535835735,0.12101323095370842,1,0.13607095338235853,1
6.347,48.18,48.18,86.55,371.3,44.4,588.0,48.16,199.8,0.0,399.0,50.0,938.0,36.0,2.23,-11.5,32.0,2890.8,2890.8,0.7976829719559002,0.0,55.661210732795546,93.5,41.514,137.2167808219178,444.26518351474704,55.6,794418.8535835735,0.10790301637751809,1,0.13479662635554687,1
6.527,48.17,48.18,86.2,371.2,44.7,587.0,48.17,199.8,0.0,399.0,49.9,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2890.8,0.8065506813287648,0.0207555002075518,55.42119179213669,93.5,41.7945,138.1439212328767,447.266975295252,55.6,794418.8535835735,0.1426568829645869,1,0.13238972351771713,1
6.711,48.17,48.17,86.2,371.3,45.9,585.0,48.17,199.8,0.0,399.0,49.9,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2890.2000000000003,0.8279799936575706,0.0,55.43612207009794,93.5,42.9165,141.8819311812331,459.2741424172722,55.5,800361.9325533354,0.14729493283444195,1,0.13550039618154214,1
6.893,48.17,48.17,87.12,371.2,45.8,587.0,48.16,199.8,0.0,399.0,50.0,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2890.2000000000003,0.8176717931446637,0.0,56.01269407112469,93.5,42.823,141.57282022005396,458.2735451571039,55.5,800361.9325533354,0.13527984940938798,1,0.13317888311505116,1
7.078,48.17,48.16,87.17,371.1,44.3,588.0,48.16,199.8,0.0,399.0,49.9,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2889.6,0.790651498774913,0.0207641196013414,56.0297426472236,93.5,41.42049999999999,136.96458938953484,443.2645862545785,55.5,800361.9325533354,0.13543769406620432,1,0.13555212437146721,1
7.264,48.15,48.15,86.2,371.0,44.8,589.0,48.17,199.8,0.0,399.0,49.9,938.0,36.0,2.23,-11.5,32.0,2889.0,2889.0,0.8087908161829893,0.0,55.39133123621421,93.5,41.888,138.5392315680166,448.26757255542026,55.5,800361.9325533354,0.13008125171108464,1,0.13430564700527675,1
7.452,48.17,48.17,84.92,371.1,45.2,590.0,48.17,199.8,0.0,399.0,49.9,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2890.2000000000003,0.8280887176508854,0.0,54.58352352417378,93.5,42.26200000000001,139.71815445297906,452.2699615960939,55.5,800361.9325533354,0.20574374777851634,1,0.13443023361584167,1
7.641,48.17,48.17,85.93,371.2,45.5,590.0,48.16,199.8,0.0,399.0,49.9,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2890.2000000000003,0.823565205443885,0.0,55.247598731998906,93.5,42.5425,140.6454873365165,455.2717533765989,55.6,794418.8535835735,0.181536071823499,1,0.13589933006363528,1
7.829,48.16,48.16,84.43,371.0,44.6,593.0,48.17,199.8,0.0,399.0,50.0,938.0,36.0,2.23,-11.5,32.0,2889.6,2889.6,0.8220600298196694,0.0,54.25394543240795,93.5,41.701,137.8921148255814,446.2663780350837,55.6,794418.8535835735,0.19700637904691515,1,0.14076172216307267,0
8.018,48.17,48.16,83.46,371.1,44.7,593.0,48.17,199.8,0.0,399.0,49.9,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2889.6,0.8332542952747806,0.0207641196013414,53.64508800432811,93.5,41.794500000000006,138.20128997093025,447.26697529525205,55.6,794418.8535835735,0.2039421015456423,1,0.14419168868630444,0
8.212,48.17,48.17,82.19,371.1,42.1,592.0,48.17,199.8,0.0,400.0,50.0,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2890.2000000000003,0.7969141416641575,0.0,52.82877765487332,93.5,39.3635,130.13571465642514,421.2514465308749,55.6,794418.8535835735,0.18869217425084717,1,0.14553589005649523,0
8.403,48.15,48.16,82.01,370.9,41.1,592.0,48.16,199.8,0.0,400.0,49.9,938.0,36.0,2.23,-11.5,32.0,2889.0,2889.6,0.7801130613191771,0.0207641196013257,52.68467102768359,93.5,38.4285,127.0709847383721,411.24547392919146,55.5,800361.9325533354,0.16977527008468668,1,0.14715005635663145,0
8.597,48.17,48.16,81.04,371.0,38.8,590.0,48.18,199.8,0.0,400.0,49.9,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2889.6,0.745071165301135,0.0207641196013414,52.07556245223665,93.5,36.278,119.95995639534884,388.2317369453194,55.5,800361.9325533354,0.0540608276275486,1,0.14347267330954835,0
8.792,48.18,48.17,82.23,371.0,42.3,590.0,48.16,199.8,0.0,399.0,49.9,938.0,36.0,2.23,-11.5,32.0,2890.8,2890.2000000000003,0.8005261813053182,0.0207598090097539,52.84024556327023,93.5,39.5505,130.75393657878345,423.2526410512116,55.5,800361.9325533354,0.194455480891983,1,0.14428341727089888,0
8.986,48.16,48.16,81.35,370.9,43.6,589.0,48.16,199.8,0.0,399.0,49.9,938.0,36.0,2.23,-11.5,32.0,2889.6,2889.6,0.8342793062098551,0.0,52.26067538229557,93.5,40.766,134.80036337209302,436.26040543340014,55.5,800361.9325533354,0.19908452391869863,1,0.14732298350591216,0
9.185,48.15,48.15,80.38,370.9,44.6,591.0,48.17,199.8,0.0,399.0,50.0,938.0,36.0,2.23,-11.5,32.0,2889.0,2889.0,0.8637128803275206,0.0,51.63753026710409,93.5,41.70099999999999,137.92075285565937,446.2663780350836,55.5,800361.9325533354,0.1552837915958638,1,0.14685276391463198,0
9.388,48.17,48.17,80.56,371.0,45.9,588.0,48.17,199.8,0.0,399.0,50.0,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2890.2000000000003,0.8866632144999768,0.0,51.76711884442478,93.5,42.91649999999999,141.88193118123309,459.2741424172721,55.5,800361.9325533354,0.16993689438947412,1,0.14980779638742572,0
9.586,48.17,48.17,83.07,371.1,45.0,587.0,48.15,199.8,0.0,399.0,49.9,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2890.2000000000003,0.8427848529577608,0.0,53.39441002299947,93.5,42.07500000000001,139.09993253062075,450.2687670757572,55.4,806349.4719327182,0.2153232020562849,1,0.15240063400714424,0
9.788,48.15,48.15,86.77,371.1,44.5,588.0,48.17,199.8,0.0,399.0,50.0,938.0,36.0,2.23,-11.5,32.0,2889.0,2889.0,0.797882301670176,0.0,55.77263702534807,93.5,41.6075,137.6115134994808,445.2657807749153,55.4,806349.4719327182,0.10948408591443826,1,0.15311363883220713,0
9.989,48.18,48.17,85.45,371.2,45.2,592.0,48.17,199.8,0.0,399.0,50.0,938.0,36.0,2.23,-11.5,32.0,2890.8,2890.2000000000003,0.8227308319347335,0.0207598090097539,54.93898884730951,93.5,42.26200000000001,139.71815445297906,452.2699615960939,55.4,806349.4719327182,0.20357819579706565,1,0.15342027311330375,0
10.195,48.16,48.16,83.07,371.0,43.3,591.0,48.16,199.8,0.0,399.0,49.9,938.0,36.0,2.23,-11.5,32.0,2889.6,2889.6,0.8111648979803933,0.0,53.380021876940994,93.5,40.4855,133.87283793604652,433.2586136528952,55.4,806349.4719327182,0.19032423891238326,1,0.1538904802832414,0
10.398,48.18,48.18,81.97,371.1,42.0,590.0,48.17,199.8,0.0,399.0,50.0,938.0,36.0,2.23,-11.5,32.0,2890.8,2890.8,0.7971549984082116,0.0,52.68736956284179,93.5,39.27,129.79965753424656,420.25084927070657,55.4,806349.4719327182,0.12322739407295613,1,0.15312476112648216,0
10.603,48.16,48.16,82.1,370.9,41.7,589.0,48.17,199.8,0.0,400.0,50.0,938.0,36.0,2.23,-11.5,32.0,2889.6,2889.6,0.7906339100501628,0.0,52.74248861569104,93.5,38.98950000000001,128.92603561046514,417.2490574902016,55.4,806349.4719327182,0.17003756116636276,1,0.15393124970333644,0
10.809,48.17,48.18,80.03,371.0,45.4,589.0,48.16,199.8,0.0,398.0,50.0,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2890.8,0.8828125511292096,0.0207555002075518,51.426545694132514,93.5,42.449,140.30724885844748,454.2711561164305,55.6,794418.8535835735,0.13699005111687246,1,0.15230931134815684,0
11.017,48.16,48.16,80.33,371.0,44.5,588.0,48.18,199.8,0.0,399.0,49.9,938.0,36.0,2.23,-11.5,32.0,2889.6,2889.6,0.8620802726132851,0.0,51.61932294901493,93.5,41.6075,137.58293968023258,445.26578077491536,55.6,794418.8535835735,0.19819152532523765,1,0.1563698969939148,0
11.228,48.16,48.16,85.53,371.1,44.6,588.0,48.17,199.8,0.0,400.0,49.9,938.0,36.0,2.23,-11.5,32.0,2889.6,2889.6,0.8112688577081395,0.0,54.975609597533946,93.5,41.701,137.8921148255814,446.2663780350837,55.6,794418.8535835735,0.18466620326750688,1,0.16053475868108563,0
11.438,48.18,48.17,85.18,371.2,44.8,592.0,48.15,199.8,0.0,400.0,49.9,938.0,36.0,2.23,-11.5,32.0,2890.8,2890.2000000000003,0.8180348074923247,0.0207598090097539,54.76539578717173,93.5,41.888000000000005,138.4817106082624,448.2675725554204,55.6,794418.8535835735,0.20411172633845204,1,0.16523497329892145,0
11.65,48.17,48.17,82.32,371.1,42.0,592.0,48.17,199.8,0.0,400.0,50.0,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2890.2000000000003,0.7937657339591971,0.0,52.91233698198287,93.5,39.27,129.826603695246,420.2508492707066,55.6,794418.8535835735,0.1858770934954765,1,0.16526665353837913,0
11.86,48.16,48.16,81.88,371.0,39.6,589.0,48.17,199.8,0.0,400.0,49.9,938.0,36.0,2.23,-11.5,32.0,2889.6,2889.6,0.7526322347972637,0.0,52.61533876590742,93.5,37.026,122.43335755813956,396.2365150266663,55.6,794418.8535835735,0.1157923987908066,1,0.162559593250815,0
12.074,48.17,48.17,80.95,371.0,44.0,588.0,48.17,199.8,0.0,398.0,49.9,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2890.2000000000003,0.8458654503493234,0.0,52.01772927577193,93.5,41.14,136.00882291882914,440.2627944740736,55.6,794418.8535835735,0.21011598264906178,1,0.16552968497399342,0
12.288,48.16,48.16,80.69,371.0,45.4,586.0,48.17,199.8,0.0,399.0,50.0,938.0,36.0,2.23,-11.5,32.0,2889.6,2889.6,0.8755916280440036,0.0,51.85065565487383,93.5,42.44899999999999,140.36551598837207,454.2711561164304,55.6,794418.8535835735,0.19248087151018045,1,0.1683489468117489,0
12.503,48.17,48.17,86.5,371.1,45.4,587.0,48.16,199.8,0.0,399.0,49.9,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2890.2000000000003,0.8165601164234126,0.0,55.59909073058209,93.5,42.44899999999999,140.3363763753373,454.2711561164304,55.5,800361.9325533354,0.1650380439568101,1,0.16909498551148963,0
12.719,48.17,48.17,84.21,371.1,43.5,595.0,48.16,199.8,0.0,400.0,49.9,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2890.2000000000003,0.8036630623128032,0.0,54.12716104534472,93.5,40.6725,134.46326811293335,435.2598081732319,55.5,800361.9325533354,0.18602228507119017,1,0.17038589725271455,0
12.939,48.17,48.16,80.86,370.9,38.7,592.0,48.16,199.8,0.0,400.0,50.0,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2889.6,0.7450059947248969,0.0207641196013414,51.9458907364772,93.5,36.1845,119.65078125,387.2311396851511,55.6,794418.8535835735,0.04630126809291624,1,0.16741994454216552,0
13.158,48.17,48.16,79.5,371.0,43.8,589.0,48.17,199.8,0.0,399.0,50.0,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2889.6,0.8573782159557074,0.0207641196013414,51.08597254384024,93.5,40.953,135.4187136627907,438.2615999537369,55.6,794418.8535835735,0.14652291924430627,1,0.16778945204810228,0
13.378,48.17,48.17,81.52,371.0,45.5,587.0,48.16,199.8,0.0,399.0,50.0,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2890.2000000000003,0.8685857272512286,0.0,52.384006060048506,93.5,42.5425,140.64548733651648,455.2717533765989,55.6,794418.8535835735,0.20575443670612942,1,0.17031189154793708,0
13.599,48.17,48.16,86.2,371.1,45.1,590.0,48.16,199.8,0.0,400.0,50.0,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2889.6,0.813987422494863,0.0207641196013414,55.40626151417545,93.5,42.1685,139.4379905523256,451.2693643359255,55.6,794418.8535835735,0.1754551913190377,1,0.1693022729992878,0
13.822,48.16,48.16,81.88,371.0,41.6,592.0,48.16,199.8,0.0,400.0,50.0,938.0,36.0,2.23,-11.5,32.0,2889.6,2889.6,0.7906439638274285,0.0,52.61533876590742,93.5,38.896,128.6168604651163,416.2484602300333,55.0,830750.9231841024,0.16790715722066624,1,0.16884797584586006,0
14.046,48.15,48.15,81.97,370.9,43.0,589.0,48.17,199.8,0.0,399.0,49.9,938.0,36.0,2.23,-11.5,32.0,2889.0,2889.0,0.8165749628381003,0.0,52.65897432190249,93.5,40.205,132.97292315680164,430.2568218723901,55.0,830750.9231841024,0.15470714503743743,1,0.16743800137887746,0
14.271,48.17,48.17,80.64,371.0,45.9,588.0,48.16,199.8,0.0,399.0,49.9,938.0,36.0,2.23,-11.5,32.0,2890.2000000000003,2890.2000000000003,0.8857835882951157,0.0,51.81852611239343,93.5,42.9165,141.8819311812331,459.2741424172722,55.0,830750.9231841024,0.17247320498166074,1,0.16638903816007802,0
14.497,48.16,48.16,86.81,371.2,46.0,587.0,48.17,199.8,0.0,399.0,49.9,938.0,36.0,2.23,-11.5,32.0,2889.6,2889.6,0.8241750830788673,0.0,55.813383520596126,93.5,43.01,142.2205668604651,460.27473967744055,55.4,806349.4719327182,0.11929535445080608,1,0.16407581083341005,0
14.724,48.15,48.16,83.02,371.0,43.3,592.0,48.17,199.8,0.0,399.0,49.9,938.0,36.0,2.23,-11.5,32.0,2889.0,2889.6,0.8116534338139155,0.0207641196013257,53.3478923344606,93.5,40.4855,133.87283793604652,433.2586136528952,55.4,806349.4719327182,0.19054363039065414,1,0.16476808951027558,0
